Country / Territory / Island,Country code,"Firm Energy (e.g., Hydro, Geothermal)",VRE_Energy,Energy Efficiency,Electricity Consumption,Build_Margin,Emissions_Intensity,,
Kiribati,KIR,530,669,530,530,753,689.8402093,,
Korea (North),PRK,359,606,359,359,754,643.1411726,,
Korea (South),KOR,335,473,335,335,555,493.3697186,,
Kosovo,XKX,843,1032,843,843,1145,1060.059195,,
Kuwait,KWT,400,572,400,400,675,597.6987298,,
Kyrgyzstan,KGZ,98,172,98,98,217,183.5578468,,
Lao People's Democratic Republic,LAO,555,876,555,555,1069,924.3662825,,
Latvia,LVA,117,194,117,117,240,205.3588386,,
Lebanon,LBN,567,709,567,567,794,730.1217691,,
Lesotho,LSO,0,0,0,0,0,0,,
Liberia,LBR,374,564,374,374,677,591.9580687,,
Libya,LBY,493,602,493,493,668,618.5303251,,
Liechtenstein,LIE,52,114,52,52,151,122.8305231,,
Lithuania,LTU,102,170,102,102,211,179.9674175,,
Luxembourg,LUX,95,173,95,95,220,185.0047958,,
Madagascar,MDG,567,760,567,567,876,789.0201773,,
Madeira (Portugal),PRT,369,552,369,369,663,580.0611538,,
Malawi,MWI,243,397,243,243,489,419.8424555,,
Malaysia,MYS,436,508,436,436,551,518.702315,,
Maldives,MDV,524,667,524,524,753,688.3877878,,
Mali,MLI,623,906,623,623,1076,948.8798627,,
Malta,MLT,295,435,295,295,520,456.3462751,,
Marshall Islands,MHL,561,681,561,561,753,698.6430006,,
Martinique (France),MTQ,406,623,406,406,753,655.1914017,,
Mauritania,MRT,513,663,513,513,753,685.1985396,,
Mauritius,MUS,543,641,543,543,700,656.0978983,,
Mayotte (France),MYT,512,662,512,512,753,684.8801607,,
Mexico,MEX,359,467,359,359,531,482.7972303,,
Micronesia,FSM,557,679,557,557,753,697.4356864,,
Moldova,MDA,399,488,399,399,541,501.0427808,,
Monaco,MCO,68,124,68,68,158,132.68161,,
Mongolia,MNG,1002,1230,1002,1002,1366,1263.845015,,
Montenegro,MNE,471,739,471,471,899,778.7503856,,
Montserrat (U.K.),MSR,517,664,517,517,753,686.2858049,,
Morocco,MAR,547,660,547,547,729,677.4379584,,
Mozambique,MOZ,111,188,111,111,234,199.2317294,,
Myanmar,MMR,407,602,407,407,719,631.384653,,
Namibia,NAM,139,274,139,139,355,294.1486348,,
Nauru,NRU,521,666,521,521,753,687.3299049,,
Nepal,NPL,0,0,0,0,0,0.001864036,,
Netherlands,NLD,203,280,203,203,326,291.4403833,,
New Caledonia (France),NCL,445,654,445,445,779,685.4524729,,
New Zealand,NZL,108,194,108,108,246,207.0858046,,
Nicaragua,NIC,372,562,372,372,675,589.9709407,,
Niger,NER,718,752,718,718,772,756.8594741,,
Nigeria,NGA,358,463,358,358,526,478.5913873,,
Niue,NIU,459,642,459,459,753,669.9343146,,
North Macedonia,MKD,563,743,563,563,851,769.8641361,,
Northern Mariana Islands (U.S.),MNP,416,626,416,416,753,657.9525015,,
Norway,NOR,17,36,17,17,47,38.2892117,,
Oman,OMN,320,419,320,320,479,433.9473952,,
Pakistan,PAK,386,515,386,386,592,533.8853153,,
Palau,PLW,497,657,497,497,753,680.7194108,,
Palestinian Authority,PSE,517,643,517,517,719,662.0160004,,
Panama,PAN,230,385,230,230,477,407.9748088,,
Papua New Guinea,PNG,315,491,315,315,597,517.8758685,,
Paraguay,PRY,0,0,0,0,0,0.004088439,,
Peru,PER,252,390,252,252,473,410.9888264,,
Philippines,PHL,525,617,525,525,672,630.3816893,,
Poland,POL,532,717,532,532,828,744.9909188,,
Portugal,PRT,228,329,228,228,389,343.8284185,,
Puerto Rico (U.S.),PRI,362,508,362,362,596,530.3684064,,
Qatar,QAT,258,411,258,258,503,434.1177792,,
Reunion (France),REU,421,641,421,421,772,673.5344444,,
Romania,ROU,289,414,289,289,489,433.2059522,,
Russian Federation,RUS,360,432,360,360,476,443.1478607,,
Rwanda,RWA,416,601,416,416,712,628.9547185,,
Saint Helena (U.K.),SHN,456,641,456,456,753,669.1679302,,
Saint Kitts and Nevis,KNA,477,649,477,477,753,675.0637839,,
Saint Lucia,LCA,521,666,521,521,753,687.3884423,,
Saint Martin (France),MAF,484,652,484,484,753,676.8831642,,
Saint Pierre and Miquelon (France),SPM,415,626,415,415,753,657.5669972,,
Saint Vincent and Grenadines,VCT,499,658,499,499,753,681.2969734,,
Samoa,WSM,434,633,434,434,753,663.0284436,,
San Marino,SMR,224,343,224,224,414,360.8133788,,
Sao Tomé & Principe,STP,565,682,565,565,753,699.7117655,,
Saudi Arabia,SAU,374,510,374,374,592,530.387154,,
Senegal,SEN,656,790,656,656,870,809.9963828,,
Serbia,SRB,678,933,678,678,1086,970.8731915,,
Seychelles,SYC,479,650,479,479,753,675.5429254,,
Sierra Leone,SLE,246,398,246,246,489,420.7416963,,
Singapore,SGP,200,311,200,200,379,328.2539557,,
Sint Martin (Netherlands),SXM,463,644,463,463,753,671.1145462,,
Slovak Republic,SVK,164,269,164,164,332,284.5820892,,
Slovenia,SVN,285,494,285,285,620,525.6838362,,
Solomon Islands,SLB,563,681,563,563,753,699.1772841,,
Somalia,SOM,582,689,582,582,753,704.6530326,,
South Africa,ZAF,786,964,786,786,1070,990.210538,,
South Sudan,SSD,704,820,704,704,890,837.565614,,
Spain,ESP,209,329,209,209,402,347.4400639,,
Sri Lanka,LKA,506,646,506,506,731,667.4949708,,
Sudan,SDN,398,609,398,398,736,640.6597808,,
Suriname,SUR,565,855,565,565,1029,898.1952763,,
Sweden,SWE,25,52,25,25,68,55.96272855,,
Switzerland,CHE,20,38,20,20,48,40.20655002,,
Syrian Arab Republic,SYR,546,650,546,546,713,665.816009,,
Taiwan (Chinese Taipei),TWN,331,427,331,331,484,441.0680953,,
Tajikistan,TJK,106,199,106,106,255,213.269133,,
Tanzania,TZA,336,458,336,336,531,475.8395956,,
Thailand,THA,351,413,351,351,450,422.4280294,,
Timor-Leste,TLS,589,691,589,589,753,706.5995716,,
Togo,TGO,597,761,597,597,859,785.4287756,,
Tonga,TON,533,670,533,533,753,690.7047628,,
Trinidad and Tobago,TTO,370,488,370,370,559,505.9789512,,
Tunisia,TUN,348,423,348,348,468,434.0020015,,
Turkey,TUR,309,351,309,309,376,357.2523711,,
Turkmenistan,TKM,676,833,676,676,927,856.5109016,,
Turks and Caicos Islands (U.K.),TCA,451,639,451,451,753,667.6127476,,
Tuvalu,TUV,497,657,497,497,753,680.5289622,,
Uganda,UGA,116,218,116,116,279,233.1159258,,
Ukraine,UKR,435,643,435,435,768,674.4412396,,
United Arab Emirates,ARE,310,464,310,310,556,487.2716041,,
United Kingdom,GBR,219,320,219,219,380,334.8644326,,
United States,USA,246,352,246,246,416,368.4702494,,
Uruguay,URY,65,133,65,65,174,143.2656116,,
Uzbekistan,UZB,467,558,467,467,612,571.5272388,,
Vanatu,VUT,504,659,504,504,753,682.6841627,,
Venezuela,VEN,368,582,368,368,711,614.4043345,,
Viet Nam,VNM,381,493,381,381,560,509.9192623,,
Virgin Islands (U.S.),VIR,373,546,373,373,650,572.3176869,,
Yemen,YEM,615,735,615,615,807,753.0875829,,
Zambia,ZMB,197,334,197,197,416,354.6974884,,
Zimbabwe,ZWE,880,1315,880,880,1575,1379.818763,,
Memo:  EU 27,,,,,,,0,,
,,261,353,261,261,409,367.1464171,,
"Note 1: For methodology and sources used to derive the default emission factors, please refer to the document 
""AHG-001: Methodological Approach for the Common Default Grid Emission Factor Dataset"".
 ",,,,,,,0,,
,,,,,,,,,
"Note 2: Partnership for Carbon Accounting Financials (PCAF) is a global partnership of financial institutions that work together to develop and implement a harmonized approach to assess and disclose the GHG emissions associated with their loans and investments.
https://carbonaccountingfinancials.com/",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
